County,PrimaryActivity,Killed
Boulder,Climber,1
Routt,Backcountry Tourer,1
San Miguel,Backcountry Tourer,1
Gunnison,Resident,1
Summit,Hiker,2
Jackson,Backcountry Tourer,1
La Plata,Sidecountry Rider,1
Chaffee,Snowmobiler,1
Clear Creek,Backcountry Tourer,1
Grand,Snowmobiler,1
Eagle,Sidecountry Rider,1
San Juan,Backcountry Tourer,3
Denver,Backcountry Tourer,1
San Juan,Backcountry Tourer,2
Gunnison,Backcountry Tourer,1
Gunnison,Backcountry Tourer,1
Summit,Backcountry Tourer,1
Eagle,Snowmobiler,2
Ouray,Climber,1
Larimer,Backcountry Tourer,1
Gunnison,Resident,1
Clear Creek,Mechanized Guide,1
San Miguel,Backcountry Tourer,1
San Miguel,Backcountry Tourer,1
Gunnison,Backcountry Tourer,2
Pitken,Backcountry Tourer,1
Ouray,Backcountry Tourer,1
Summit,Snowmobiler,1
Pitken,Sidecountry Rider,1
San Juan,Backcountry Tourer,1
Garfield,Snowbiker,1
Chaffee,Snowbiker,1
Mineral,Snowmobiler,1
Clear Creek,Backcountry Tourer,1
Summit,Snowmobiler,1
Clear Creek,Climber,1
Pitken,Sidecountry Rider,1
San Juan,Backcountry Tourer,1
Clear Creek,Climber,1
Montezuma,Snowmobiler,1
Elbert,Ski Patroller,1
Lake,Backcountry Tourer,2
Summit,Sidecountry Rider,1
Gunnison,Snowmobiler,1
Eagle,Sidecountry Rider,1
Jackson,Backcountry Tourer,1
